Course Of Sales
Time,Price ($),Volume,Value ($),Condition
20/10/2013 04:57:27 PM,5.81,5000,29050.00,LT XT
20/10/2013 04:48:05 PM,5.81,62728,364449.68,SX XT
20/10/2013 04:10:33 PM,.00,0,.00,
20/10/2013 04:10:33 PM,.00,0,.00,
20/10/2013 03:59:55 PM,5.82,2194,12769.08,
20/10/2013 03:59:54 PM,5.83,3,17.49,
20/10/2013 03:59:51 PM,5.82,63,366.66,
20/10/2013 03:59:51 PM,5.82,17,98.94,
20/10/2013 03:59:50 PM,5.83,1,5.83,NXXT
20/10/2013 03:59:41 PM,5.82,35,203.70,
20/10/2013 03:59:40 PM,5.83,3,17.49,
20/10/2013 03:40:30 PM,5.83,9,52.47,
20/10/2013 03:40:25 PM,5.84,1,5.84,CX
20/10/2013 03:40:19 PM,5.83,50,291.50,
20/10/2013 03:40:04 PM,.00,0,.00,
20/10/2013 11:34:52 AM,5.86,3919,22965.34,
20/10/2013 11:34:52 AM,5.86,10506,61565.16,
20/10/2013 11:34:22 AM,5.86,148,867.28,
20/10/2013 11:34:19 AM,.00,0,.00,
20/10/2013 11:34:19 AM,5.86,1,5.86,CX
20/10/2013 11:33:51 AM,5.86,846,4953.33,CX
20/10/2013 11:33:31 AM,5.86,124,726.64,
20/10/2013 11:33:31 AM,5.86,13,76.18,
20/10/2013 10:53:42 AM,5.87,6,35.22,
20/10/2013 10:53:42 AM,5.87,4,23.48,
