Course Of Sales
Time,Price ($),Volume,Value ($),Condition
20/10/2013 03:59:50 PM,5.83,1,5.83,NXXT
20/10/2013 03:59:41 PM,5.82,35,203.70,
20/10/2013 03:59:40 PM,5.83,3,17.49,
20/10/2013 03:40:30 PM,5.83,9,52.47,
20/10/2013 03:40:25 PM,5.84,1,5.84,CX
20/10/2013 03:40:19 PM,5.83,50,291.50,
20/10/2013 03:40:04 PM,.00,0,.00,
20/10/2013 11:34:52 AM,5.86,3919,22965.34,
20/10/2013 11:34:52 AM,5.86,10506,61565.16,
20/10/2013 11:34:22 AM,5.86,148,867.28,
20/10/2013 11:34:19 AM,.00,0,.00,
20/10/2013 11:34:19 AM,5.86,1,5.86,CX
